Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Fixation Count	Fixation Frequency [count/s]	Fixation Duration Total [ms]	Fixation Duration Average [ms]	Fixation Duration Maximum [ms]	Fixation Duration Minimum [ms]	Fixation Dispersion Total [px]	Fixation Dispersion Average [px]	Fixation Dispersion Maximum [px]	Fixation Dispersion Minimum [px]	Saccade Count	Saccade Frequency [count/s]	Saccade Duration Total [ms]	Saccade Duration Average [ms]	Saccade Duration Maximum [ms]	Saccade Duration Minimum [ms]	Saccade Amplitude Total [°]	Saccade Amplitude Average [°]	Saccade Amplitude Maximum [°]	Saccade Amplitude Minimum [°]	Saccade Velocity Total [°/s]	Saccade Velocity Average [°/s]	Saccade Velocity Maximum [°/s]	Saccade Velocity Minimum [°/s]	Saccade Latency Average [ms]	Blink Count	Blink Frequency [count/s]	Blink Duration Total [ms]	Blink Duration Average [ms]	Blink Duration Maximum [ms]	Blink Duration Minimum [ms]	Left Mouse Click Count	Left Mouse Click Frequency [count/s]	Right Mouse Click Count	Right Mouse Click Frequency [count/s]	Scanpath Length [px]
Trial007	ljubicasta.rtf	0.0	51775.5	Reading25	GreenYellow	69	1.3	49095.5	711.5	1736.1	83.5	10533.1	152.7	248.6	13.5	60	1.2	1201.9	20.0	83.5	16.7	62.2	1.0	14.5	0.0	1997.0	33.3	202.5	2.1	848.5	6	0.1	1018.3	169.7	233.7	100.2	0	0.0	0	0.0	16271
Trial007	ljubicasta.rtf	0.0	38255.8	Reading26	HotPink	54	1.4	36475.1	675.5	1419.1	133.5	9180.4	170.0	264.6	28.9	43	1.1	901.4	21.0	66.8	16.7	54.5	1.3	14.4	0.0	1139.0	26.5	216.3	2.0	867.3	4	0.1	350.6	87.6	100.2	83.5	0	0.0	0	0.0	14971
Trial007	ljubicasta.rtf	0.0	23194.3	Reading27	IndianRed	44	1.9	22169.1	503.8	1251.9	100.2	5844.1	132.8	211.0	16.7	43	1.9	1001.6	23.3	100.1	16.7	74.6	1.7	16.1	0.0	1951.5	45.4	161.2	1.4	504.8	0	0.0	0.0	-	-	-	0	0.0	0	0.0	13631
Trial007	ljubicasta.rtf	0.0	30306.7	Reading28	Indigo	47	1.6	29180.5	620.9	1686.1	150.2	8340.0	177.4	242.6	24.5	45	1.5	984.9	21.9	100.2	16.7	66.0	1.5	17.9	0.0	1270.4	28.2	220.8	2.1	618.0	1	0.0	116.9	116.9	116.9	116.9	0	0.0	0	0.0	13419
Trial007	ljubicasta.rtf	0.0	45181.0	Reading29	Khaki	56	1.2	42234.3	754.2	1902.9	116.9	9888.4	176.6	277.9	20.4	42	0.9	984.9	23.5	83.5	16.7	75.8	1.8	16.6	0.0	1360.0	32.4	225.1	1.1	1022.4	13	0.3	1686.0	129.7	167.0	83.5	0	0.0	0	0.0	15533
Trial007	ljubicasta.rtf	0.0	46702.7	Reading30	LawnGreen	65	1.4	44037.6	677.5	1936.6	83.4	10973.1	168.8	265.7	12.4	51	1.1	1318.7	25.9	116.8	16.7	96.0	1.9	15.5	0.0	1633.8	32.0	185.4	1.6	904.1	6	0.1	617.7	103.0	133.6	83.4	0	0.0	0	0.0	15957
Trial007	ljubicasta.rtf	0.0	46627.7	Reading31	LightBlue	50	1.1	44187.5	883.7	2453.9	150.2	10402.8	208.1	321.4	30.0	38	0.8	884.8	23.3	100.2	16.7	73.7	1.9	14.9	0.0	1606.2	42.3	222.8	1.9	1196.1	10	0.2	1335.4	133.5	166.9	100.2	0	0.0	0	0.0	14719
Trial007	ljubicasta.rtf	0.0	27661.4	Reading32	LightCoral	51	1.8	25691.4	503.8	951.7	133.6	8416.2	165.0	230.4	16.5	49	1.8	1085.1	22.1	83.5	16.7	80.0	1.6	16.1	0.0	2090.5	42.7	289.7	2.2	548.1	3	0.1	684.2	228.1	483.9	83.5	0	0.0	0	0.0	14315
Trial007	ljubicasta.rtf	0.0	39081.4	Reading33	LightGray	53	1.4	37510.5	707.7	1452.3	83.5	7930.1	149.6	212.4	40.0	48	1.2	968.3	20.2	83.5	16.7	60.1	1.3	15.5	0.0	1728.5	36.0	206.1	1.9	762.2	4	0.1	500.9	125.2	150.3	100.2	0	0.0	0	0.0	13472
Trial007	ljubicasta.rtf	0.0	36333.0	Reading35	LightGreen	55	1.5	35106.8	638.3	1185.2	100.2	9390.9	170.7	243.8	28.2	52	1.4	1068.4	20.5	66.8	16.7	65.4	1.3	13.6	0.0	1653.6	31.8	203.3	2.0	683.1	0	0.0	0.0	-	-	-	0	0.0	0	0.0	13869
Trial007	ljubicasta.rtf	0.0	31129.4	Reading36	LightPink	54	1.7	29730.9	550.6	1702.8	116.8	8485.4	157.1	256.0	21.2	51	1.6	1118.4	21.9	83.5	16.7	71.6	1.4	15.3	0.0	1717.8	33.7	183.3	1.4	587.3	2	0.1	233.7	116.8	116.8	116.8	0	0.0	0	0.0	14929
Trial007	ljubicasta.rtf	0.0	69677.5	Reading37	LightSalmon	59	0.8	67558.2	1145.1	2971.6	133.4	10131.3	171.7	234.0	30.0	51	0.7	884.7	17.3	33.4	16.7	20.6	0.4	9.8	0.0	864.9	17.0	294.2	1.4	1315.4	7	0.1	934.9	133.6	150.3	83.5	0	0.0	0	0.0	15061
Trial007	ljubicasta.rtf	0.0	28070.9	Reading38	LightSeaGreen	51	1.8	26575.6	521.1	1202.0	183.6	8542.7	167.5	240.4	17.1	48	1.7	1202.3	25.0	100.2	16.7	81.8	1.7	16.9	0.0	1374.4	28.6	168.9	1.4	552.6	2	0.1	233.7	116.9	133.6	100.1	0	0.0	0	0.0	15117
Trial007	ljubicasta.rtf	0.0	42036.4	Reading39	LightSkyBlue	54	1.3	38762.0	717.8	1902.9	83.5	9135.1	169.2	271.1	25.9	39	0.9	784.6	20.1	83.5	16.7	45.7	1.2	16.5	0.0	1282.5	32.9	343.2	2.3	1081.1	15	0.4	1819.5	121.3	166.9	83.5	0	0.0	0	0.0	12972
Trial007	ljubicasta.rtf	0.0	41293.6	Reading40	LightSlateGray	47	1.1	39897.5	848.9	1919.9	100.2	9800.2	208.5	366.0	24.5	43	1.0	1101.8	25.6	83.5	16.7	71.0	1.7	13.1	0.0	1347.1	31.3	191.4	1.7	948.0	2	0.0	167.0	83.5	83.5	83.5	0	0.0	0	0.0	14230
Trial007	ljubicasta.rtf	0.0	31453.8	Reading41	LightSteelBlue	60	1.9	28829.9	480.5	1485.7	83.5	9417.0	157.0	285.5	10.2	52	1.7	1135.2	21.8	83.5	16.7	79.4	1.5	15.9	0.0	1905.7	36.6	190.9	1.3	579.4	7	0.2	1352.1	193.2	217.0	183.6	0	0.0	0	0.0	15609
Trial007	ljubicasta.rtf	0.0	39807.7	Reading42	Lime	63	1.6	38311.7	608.1	2270.3	83.5	9850.4	156.4	250.1	45.1	62	1.6	1302.1	21.0	83.5	16.7	88.5	1.4	15.5	0.0	2630.8	42.4	420.3	1.4	624.2	1	0.0	83.5	83.5	83.5	83.5	0	0.0	0	0.0	15333
Trial007	ljubicasta.rtf	0.0	56634.3	Reading43	LimeGreen	64	1.1	52534.4	820.8	1886.4	100.2	11350.1	177.3	262.8	56.4	51	0.9	1268.6	24.9	100.2	16.7	104.7	2.1	39.6	0.0	1698.6	33.3	395.5	1.0	1093.1	13	0.2	2604.4	200.3	250.5	150.3	0	0.0	0	0.0	14108
Trial007	ljubicasta.rtf	0.0	37297.1	Reading44	Magenta	64	1.7	35540.7	555.3	1168.7	100.2	9345.8	146.0	216.9	33.1	59	1.6	1385.5	23.5	100.2	16.7	103.5	1.8	15.9	0.0	2805.6	47.6	454.3	1.7	614.8	2	0.1	167.0	83.5	83.5	83.5	0	0.0	0	0.0	16189
Trial007	ljubicasta.rtf	0.0	35081.3	Reading45	Maroon	65	1.9	31650.7	486.9	1853.1	83.4	9994.6	153.8	214.9	11.7	50	1.4	1185.2	23.7	166.9	16.7	76.5	1.5	18.6	0.0	1593.4	31.9	221.9	2.5	682.0	14	0.4	1619.2	115.7	150.3	83.5	0	0.0	0	0.0	15327
Trial007	ljubicasta.rtf	0.0	28014.8	Reading46	MediumAquamarine	58	2.1	24756.3	426.8	1118.5	83.5	8481.4	146.2	312.5	9.6	48	1.7	968.2	20.2	66.8	16.7	102.5	2.1	25.8	0.0	3474.1	72.4	399.2	1.8	563.0	4	0.1	1018.3	254.6	367.3	150.3	0	0.0	0	0.0	14643
